ID,City,MatchDate,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Umpire1,Umpire2
1304070,Mumbai,14/04/22,2022,24,Gujarat Titans,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,field,N,Gujarat Titans,Runs,37,NA,HH Pandya,CB Gaffaney,R Pandit
1304069,Pune,13/04/22,2022,23,Punjab Kings,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,field,N,Punjab Kings,Runs,12,NA,MA Agarwal,BNJ Oxenford,UV Gandhe
1304068,Mumbai,12/04/22,2022,22,Chennai Super Kings,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,N,Chennai Super Kings,Runs,23,NA,S Dube,Nitin Menon,N Pandit
1304067,Mumbai,11/04/22,2022,21,Gujarat Titans,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,8,NA,KS Williamson,Chirra Ravikanthreddy,RJ Tucker
1304065,Mumbai,10/04/22,2022,19,Delhi Capitals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,field,N,Delhi Capitals,Runs,44,NA,Kuldeep Yadav,CB Gaffaney,J Madanagopal
1304066,Mumbai,10/04/22,2022,20,Rajasthan Royals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,field,N,Rajasthan Royals,Runs,3,NA,YS Chahal,AK Chaudhary,Tapan Sharma
1304064,Pune,09/04/22,2022,18,Mumbai Indians,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,7,NA,Anuj Rawat,BNJ Oxenford,KN Ananthapadmanabhan
1304063,Mumbai,09/04/22,2022,17,Chennai Super Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,8,NA,Abhishek Sharma,Navdeep Singh,Nitin Menon
1304062,Mumbai,08/04/22,2022,16,Punjab Kings,Gujarat Titans,"Brabourne Stadium, Mumbai",Gujarat Titans,field,N,Gujarat Titans,Wickets,6,NA,Shubman Gill,AK Chaudhary,VK Sharma
1304061,Mumbai,07/04/22,2022,15,Delhi Capitals,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,field,N,Lucknow Super Giants,Wickets,6,NA,Q de Kock,RJ Tucker,Tapan Sharma
1304060,Pune,06/04/22,2022,14,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,5,NA,PJ Cummins,BNJ Oxenford,KN Ananthapadmanabhan
1304059,Mumbai,05/04/22,2022,13,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,4,NA,KD Karthik,AK Chaudhary,HAS Khalid
1304058,Mumbai,04/04/22,2022,12,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,N,Lucknow Super Giants,Runs,12,NA,Avesh Khan,J Madanagopal,Navdeep Singh
1304057,Mumbai,03/04/22,2022,11,Punjab Kings,Chennai Super Kings,"Brabourne Stadium, Mumbai",Chennai Super Kings,field,N,Punjab Kings,Runs,54,NA,LS Livingstone,RJ Tucker,YC Barde
1304056,Pune,02/04/22,2022,10,Gujarat Titans,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",Delhi Capitals,field,N,Gujarat Titans,Runs,14,NA,LH Ferguson,KN Ananthapadmanabhan,UV Gandhe
1304055,Mumbai,02/04/22,2022,9,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,N,Rajasthan Royals,Runs,23,NA,JC Buttler,Nitin Menon,PG Pathak
1304054,Mumbai,01/04/22,2022,8,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,6,NA,UT Yadav,AK Chaudhary,HAS Khalid
1304053,Mumbai,31/03/22,2022,7,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Lucknow Super Giants,field,N,Lucknow Super Giants,Wickets,6,NA,E Lewis,RJ Tucker,VK Sharma
1304052,Mumbai,30/03/22,2022,6,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,3,NA,PWH de Silva,J Madanagopal,Navdeep Singh
1304051,Pune,29/03/22,2022,5,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,field,N,Rajasthan Royals,Runs,61,NA,SV Samson,BNJ Oxenford,UV Gandhe
1304050,Mumbai,28/03/22,2022,4,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,N,Gujarat Titans,Wickets,5,NA,Mohammed Shami,PG Pathak,VK Sharma
1304049,Mumbai,27/03/22,2022,3,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,N,Punjab Kings,Wickets,5,NA,OF Smith,Nitin Menon,YC Barde
1304048,Mumbai,27/03/22,2022,2,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,4,NA,Kuldeep Yadav,RJ Tucker,HAS Khalid
1304047,Mumbai,26/03/22,2022,1,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,6,NA,UT Yadav,AK Chaudhary,Nitin Menon
